,Domain_Name,Organization_Name
1163,hppostalcircle.gov.in,"Himachal Pradesh Postal Circle, Department of Posts"
1164,hrdcnehu.com,"UGC Academic Staff College North-Eastern Hill University, Shillong"
1165,hri.res.in,"Harish-Chandra Research Institute (HRI), Allahabad"
1166,hrm.mhrd.gov.in,"Minister of Human Resource Development, Government of India"
1167,hsadl.nic.in,"High Security Animal Disease Laboratory, Indian Veterinary Research Institute, ICAR, Bhopal"
1168,hsccltd.co.in,Hospital Services Consultancy Corporation (I) Limited (HSCC)
1169,hscl.co.in,Hindustan Steel Works Construction Limited (HSCL)
1170,hslvizag.in,Hindustan Shipyard Limited (HSL)
1171,hss.iitb.ac.in,"Department of Humanities and Social Sciences, IIT Bombay"
1172,hss.iitm.ac.in,"Department of Humanities and Social Sciences, Indian Institute of Technology, Madras"
1173,hssc.gov.in,Haryana Staff Selection Commission
1174,hubli.stpi.in,"Software Technology Parks of India (STPI), Hubli, Karnataka"
1175,hudco.org,Housing and Urban Development Corporation Limited (HUDCO)
1176,hwb.gov.in,Heavy Water Board (HWB)
1177,hyd.stpi.in,"Software Technology Parks of India (STPI), Hyderabad"
1178,hyderabadcustoms.gov.in,Hyderabad Customs
1179,hyderabadgstaudit2.gov.in,"Hyderabad-II Audit Commissionerate, Goods and Services Tax (GST)"
1180,hydro.imd.gov.in,"Hydromet Division, India Meteorological Department"
1181,hydrobharat.nic.in,Indian Naval Hydrographic Department (INHD)
1182,hydrology-project.gov.in,"Hydrology Project, Government of India"
1183,iacs.res.in,"Indian Association for the Cultivation of Science (IACS), Kolkata"
1184,iafpensioners.gov.in,Directorate of Air Veterans (DAV) for IAF Pensioners
1185,iamrindia.gov.in,Institute of Applied Manpower Research
1186,iari.res.in,Indian Agricultural Research Institute (IARI)
1187,ias.ac.in,"Indian Academy of Sciences, Bangalore, Karnataka"
1188,iasri.res.in,Indian Agricultural Statistics Research Institute (IASRI)
1189,iasst.gov.in,Institute of Advanced Study in Science and Technology (IASST)
1190,iay.nic.in,"Indira Awaas Yojana (IAY), Department of Rural Development"
1191,ibbi.gov.in,Insolvency and Bankruptcy Board of India (IBBI)
1192,ibef.org,"India Brand Equity Foundation (IBEF), Haryana"
1193,ibm.gov.in,Indian Bureau of Mines
1194,ibmreg.nic.in,"Mineral Concessionaires Registration System, Indian Bureau of Mines"
1195,ibsd.gov.in,Institute of Bioresources and Sustainable Development (IBSD)
1196,icadr.nic.in,International Centre for Alternative Dispute Resolution (ICADR)
1197,icai.nic.in,Examination Results of Institute of Chartered AccountantS of India (ICAI)
1198,icai.org,Institute of Chartered Accountants of India (ICAI)
1199,icar-ciwa.org.in,ICAR-Central Institute for Women in Agriculture (ICAR-CIWA)
1200,icar-iior.org.in,Indian Institute of Oilseeds Research (IIOR) formerly Directorate of Oilseeds Research (DOR)
1201,icar-iirr.org,Indian Institute of Rice Research (IIRR) formerly Directorate of Rice Research (DRR)
1202,icar.org.in,Indian Council of Agricultural Research (ICAR)
1203,icarnagaland.nic.in,"ICAR Research Complex for NEH Region, Nagaland Centre, Jharnapani, Medziphema"
1204,icarrcer.in,"ICAR Research Complex for Eastern Region (ICAR-RCER), Patna, Bihar"
1205,icarzcu3.gov.in,"ICAR Zonal Co-ordinating Unit Zone-III, NEH Region"
1206,iccr.gov.in,Indian Council for Cultural Relations (ICCR)
1207,icds-wcd.nic.in,Intergrated Child Development Services (ICDS)
1208,icdsbih.gov.in,"Integrated Child Development Services (ICDS), Bihar"
1209,icdtkd.gov.in,"Custom Commissionerate, Inland Container Depot (ICD), Tughlakabad, New Delhi"
1210,iced.cag.gov.in,"International Centre for Environment Audit and Sustainable Development (iCED), Jaipur"
1211,icegate.gov.in,"Indian Customs and Excise Gateway ICE : GATE, e-Commerce Portal of Central Board of Excise and Customs "
1212,ices.nic.in,Indian Customs Electronic Data Interchange System (ICES)
1213,icf.indianrailways.gov.in,"Integral Coach Factory, Chennai"
1214,icfre.gov.in,Indian Council of Forestry Research and Education (ICFRE)
1215,ichr.ac.in,"Indian Council of Historical Research (ICHR),  New Delhi"
1216,ici.nic.in,"Indian Culinary Institute (ICI), Ministry of Tourism"
1217,icisa.cag.gov.in,International Centre for Information Systems and Audit (iCISA)
1218,icmai.in,Institute of Cost Accountants of India
1219,icmam.gov.in,"Integrated Coastal and Marine Area Management Project Directorate (ICMAM PD), Chennai"
1220,icmbhubaneswar.nic.in,"Madhusudan Institute of Co-operative Management (MICM), Bhubaneswar"
1221,icmbpl.com,"Institute of Co-operative Management (ICM), Bhopal, Madhya Pradesh."
1222,icmdehradun.org,"Institute of Co-operative Management, Dehradun,  Uttarakhand"
1223,icmguwahati.gov.in,"Institute of Cooperative Management(ICM), Guwahati"
1224,icmimphal.org,"Institute of Co-Operative Management (ICM), Imphal, Manipur"
1225,icmjaipur.nic.in,"Institute of Cooperative Management, Jaipur"
1226,icmlko.up.nic.in,"Indira Gandhi Institute of Co-operative Management, Lucknow"
1227,icmmadurai.in,Institute of Cooperative Management Madurai
1228,icmpune.org,"Institute of Co-operative Management, Pune, Maharashtra"
1229,icmr.gov.in,Indian Council of Medical Research (ICMR)
1230,icpeenvis.nic.in,"ENVIS Environmental Information System, Indian Centre for Plastic in the Environment (ICPE)"
1231,icpr.in,"Indian Council of Philosophical Research, ICPR, New Delhi"
1232,ics.fssai.gov.in,"Food Import Clearance System, Food Safety and Standards Authority of India"
1233,icsi.edu,Institute of Company Secretaries of India (ICSI)
1234,icssr.org,Indian Council of Social Science Research (ICSSR)
1235,icts.res.in,"International Centre for Theoretical Sciences (ICTS), TIFR, Mumbai, Maharashtra"
1236,idemi.org,"Institute For Design Of Electrical Measuring Instruments, Mumbai"
1237,idplindia.in,Indian Drugs and Pharmaceuticals Limited (IDPL)
1238,idrn.gov.in,"India Disaster Resource Network,IDRN"
1239,ids.nic.in,Integrated Defence Staff (IDS)
1240,idsp.nic.in,"Integrated Disease Surveillance Project (IDSP), Delhi"
1241,idtr.gov.in,MSME Tool Room Jamshedpur (Indo-Danish Tool Room)
1242,ies.gov.in,Indian Economic Service (IES)
1243,ifacc.up.nic.in,"Integrated Financial Advisor, Central Command"
1244,ifciltd.com,Industrial Finance Corporation of India (IFCI)
1245,iffi.gov.in,International Film Festival of India (IFFI)
1246,ifgtb.icfre.gov.in,Institute of Forest Genetics and Tree Breeding (IFGTB)
1247,ifpkochi.gov.in,"National Institute of Fisheries Post Harvest Technology and Training (NIFPHATT), Kerala"
1248,ifr16.indiannavy.gov.in,"International Fleet Review(IFR) 2016, Hosted by Indian Navy"
1249,ifs.nic.in,Indian Forest Service (IFS)
1250,ifsi.in,Central Inland Fisheries Research Institute (CIFRI)
1251,ifsweb.nic.in,Institute of Food Security
1252,igau.edu.in,"Indira Gandhi Agricultural University, Raipur"
1253,igcar.gov.in,Indira Gandhi Centre for Atomic Research (IGCAR)
1254,igib.res.in,Institute of Genomics and Integrative Biology (IGIB)
1255,igidr.ac.in,"Indira Gandhi Institute of Development Research (IGIDR), Mumbai"
1256,igmkolkata.spmcil.com,"India Government Mint, Kolkata"
1257,igmnoida.spmcil.com,"India Government Mint, Noida"
1258,igmoris.nic.in,"Indian GMO Research Information System (IGMORIS), New Delhi"
1259,igms.irda.gov.in,"Integrated Grievance Management System (IGMS), Insurance Regulatory and Development Authority (IRDA)"
1260,ignca.gov.in,Indira Gandhi National Centre for the Arts (IGNCA)
1261,ignfa.gov.in,Indira Gandhi National Forest Academy (IGNFA)
1262,ignou.ac.in,Indira Gandhi National Open University (IGNOU)
1263,ignouhyd.ap.nic.in,"Indhira Gandhi National Open University (IGNOU), Hyderabad Regional Centre"
1264,ignoushillong.nic.in,"Indhira Gandhi National Open University (IGNOU), Shillong Regional centre, Meghalaya"
1265,igntu.ac.in,"Indira Gandhi National Tribal University, Amarkantak, Madhya Pradesh"
1266,igrms.gov.in,Indira Gandhi Rashtriya Manav Sangrahalaya
1267,igrua.gov.in,Indira Gandhi Rashtriya Uran Academy (IGRUA)
1268,igtr-aur.org,"Indo German Tool Room, MSME, Aurangabad"
1269,igtr-indore.com,"Indo German Tool Room, MSME, Indore"
1270,ihmahmedabad.com,"Institute of Hotel Management, Catering Technology and Applied Nutrition, Ahmedabad"
1271,ihmbangalore.kar.nic.in,"Institute of Hotel Managment, Bangalore"
1272,ihmbbs.org,"Institute of Hotel Management, Catering Technology and Applied Nutrition, Bhubaneswar, Odisha"
1273,ihmbpl.com,"Institute of Hotel Management, Catering Technology and Applied Nutrition, Bhopal, Madhya Pradesh"
1274,ihmchennai.org,"Institute of Hotel Management Catering Technology and Applied Nutrition, Chennai"
1275,ihmctan.edu,"Institute of Hotel Management, Catering Technology and Applied Nutrition, Mumbai"
1276,ihmctkovalam.org,"Institute of Hotel Management and Catering Technology, Kovalam, Trivandrum"
1277,ihmddn.com,"Institute of Hotel Management, Catering Technology and Applied Nutrition, Dehradun"
1278,ihmgoa.gov.in,"Institute of Hotel Management, Catering Technology and Applied Nutrition, Goa"
1279,ihmgurdaspur.org,"Institute of Hotel Management, Gurdaspur"
1280,ihmgwalior.net,"Institute of Hotel Management (IHM), Gwalior"
1281,ihmhajipur.net,"Institute of Hotel Management (IHM), Hajipur, Patna, Bihar"
1282,ihmhyd.org,"Institute of Hotel Management, Catering Technology and Applied Nutrition, Hyderabad"
1283,ihmjaipur.com,"Institute of Hotel Management, Catering Technology and Applied Nutrition, Jaipur"
1284,ihmkkr.com,"Institute of Hotel Management, Catering Technology and Applied Nutrition, Kurukshetra"
1285,ihmkolkata.org,"Institute of Hotel Management, Catering Technology and Applied Nutrition, Kolkata"
1286,ihmlucknow.com,"Institute of Hotel Management, Lucknow"
1287,ihmpusa.net,"Institute of Hotel Management (IHM), Pusa, New Delhi"
1288,ihmshillong.nic.in,"Institute of Hotel Management, Catering Technology and Applied Nutrition, Shillong"
1289,ihmshimla.org,"Institute of Hotel Management, Shimla"
1290,ihmsilvassa.nic.in,"Institute of Hotel Management and Catering Technology (IHMCT), Silvassa"
1291,ihmsrinagar.org,"Institute of Hotel Management, Catering Technology and Applied Nutrition, Srinagar"
1292,iiap.res.in,Indian Institute of Astrophysics (IIA)
1293,iias.org,Indian Institute of Advanced Study (IIAS)
1294,iib.gov.in,"Insurance Information Bureau of India (IIB), Hyderabad, Andhra Pradesh,"
1295,iica.in,Indian Institute of Corporate Affairs (IICA)
1296,iicb.res.in,Indian Institute of Chemical Biology (IICB)
1297,iictenvis.nic.in,"ENVIS Centre for Bioinformatics - Vector Control, Indian Institute of Chemical Technology (IICT), Hyderabad"
1298,iictindia.org,"Council of Scientific and Industrial Research, CSIR - IICT "
1299,iie.gov.in,Indian Institute of Entrepreneurship
1300,iifcl.org,India Infrastructure Finance CompanyLimited (IIFCL)
1301,iifclprojects.com,"IIFCL Project Limited (IPL), India Infrastructure Finance Company Limited (IIFCL), New Delhi"
1302,iifm.ac.in,"Indian Institute of Forest Management (IIFM), Bhopal, Madhya Pradesh"
1303,iifpt.edu.in,"Indian Institute of Food Processing Technology (IIFPT), Thanjavur, Tamil Nadu"
1304,iifsr.res.in,"ICAR - Indian Institute of Farming Systems Research (IIFSR), Meerut"
1305,iift.edu,Indian Institute of Foreign Trade (IIFT)
1306,iigm.res.in,Indian Institute of Geomagnetism
1307,iihr.res.in,Indian Institute of Horticultural Research (IIHR)
1308,iiim.res.in,"Indian Institute of Integrative Medicine (IIIM), Jammu"
1309,iiit-bh.ac.in,"International Institute of Information Technology (IIT), Bhubaneswar"
1310,iiita.ac.in,"Indian Institute of Information Technology, Allahabad (IIITA)"
1311,iiitdm.ac.in,"Indian Institute of Information Technology, Design and Manufacturing (IIITD & M), Kancheepuram, Tamilnadu"
1312,iiitdmj.ac.in,"Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur, Madhya Pradesh"
1313,iiitm.ac.in,"Indian Institute of Information Technology and Management (IIITM), Gwalior"
1314,iimahd.ernet.in,"Indian Institute of Management, Ahmedabad (IIMA)"
1315,iimb.ac.in,"Indian Institute of Management, Bangalore (IIMB)"
1316,iimc.gov.in,Indian Institute of Mass Communication (IIMC)
1317,iimcal.ac.in,"Indian Institute of Management, Calcutta (IIMC)"
1318,iimidr.ac.in,"Indian Institute of Management, Indore (IIMI)"
1319,iimk.ac.in,"Indian Institute of Management, Kozhikode (IIMK)"
1320,iiml.ac.in,"Indian Institute of Management, Lucknow (IIML)"
1321,iimraipur.ac.in,"Indian Institute of Management, Raipur(IIMR)"
1322,iimrohtak.ac.in,"Indian Institute of Management, Rohtak(IIMR)"
1323,iimshillong.in,"Rajiv Gandhi Indian Institute of Management (RGIIM), Shillong, Meghalaya"
1324,iimtrichy.ac.in,Indian Institute of Management Tiruchirappalli (IIM Tiruchirappalli)
1325,iip-in.com,Indian Institute of Packaging
1326,iip.res.in,Indian Institute of Petroleum (IIP)
1327,iipa.org.in,Indian Institute of Public Administration (IIPA)
1328,iipmb.edu.in,"Indian Institute of Plantation Management,Bangalore"
1329,iipr.res.in,Indian Institute of Pulses Research (IIPR)
1330,iipsindia.org,International Institute for Population Sciences (IIPS)
1331,iirs.gov.in,Indian Institute of Remote Sensing (IIRS)
1332,iisc.ernet.in,"Indian Institute of Science (IISC), Bangalore"
1333,iiser-admissions.in,IISER Admission 2011 - Indian Institutes of Science Education and Research (IISER)
1334,iiserb.ac.in,"Indian Institute of Science Education and Research (IISER), Bhopal"
1335,iiserkol.ac.in,"Indian Institute of Science Education and Research (IISER), Kolkata"
1336,iisermohali.ac.in,"Indian Institute of Science Education and Research (IISER), Mohali"
1337,iiserpune.ac.in,"Indian Institutes of Science Education and Research (IISER), Pune"
1338,iisertvm.ac.in,Indian Institute of Science Education and Research Thiruvananthapuram (IISER-TVM)
1339,iisr.nic.in,Indian Institute of Sugarcane Research (IISR)
1340,iiss.nic.in,Indian Institute of Soil Science (IISS)
1341,iist.ac.in,"Indian Institute of Space Science and Technology (IIST), Thiruvananthapuram"
1342,iitb.ac.in,"Indian Institute of Technology (IIT), Bombay (IITB)"
1343,iitbbs.ac.in,"Indian Institute of Technology (IIT), Bhubaneswar"
1344,iitd.ernet.in,"Indian Institute of Technology, Delhi (IITD)"
1345,iitg.ernet.in,"Indian Institute of Technology, Guwahati (IITG)"
1346,iitgn.ac.in,"Indian Institute of Technology Gandhinagar (IITGn), Gujarat"
1347,iith.ac.in,"Indian Institute of Technology, Hyderabad"
1348,iiti.ac.in,"Indian Institute of Technology Indore (IITI), Madhya Pradesh"
1349,iitism.ac.in,"Indian Institute of Technology (Indian School of Mines), IIT (ISM), Dhanbad, Jharkhand"
1350,iitj.ac.in,"Indian Institute of Technology  Jodhpur (IITJ), Rajasthan"
1351,iitk.ac.in,"Indian Institute of Technology (IITK), Kanpur "
1352,iitkgp.ac.in,"Indian Institute of Technology (IIT), Kharagpur"
1353,iitm.ac.in,"Indian Institute of Technology (IIT), Madras"
1354,iitmandi.ac.in,"Indian Institute of Technology, Mandi (IIT - Mandi), Himachal Pradesh"
1355,iitmenvis.nic.in,"ENVIS Centre on Acid Rain and Atmospheric Pollution, Indian Institute of Tropical Meteorology, Pune, Maharashtra"
1356,iitp.ac.in,"Indian Institute of Technology Patna (IITP), Bihar"
1357,iitr.ac.in,Indian Institute of Technology Roorkee
1358,iitrindia.org,"Indian Institute of Toxicology Research (IITR), CSIR, Lucknow"
1359,iitrpr.ac.in,"Indian Institute of Technology (IITRPR), Ropar, Rupnagar"
1360,iittm.net,Indian Institute of Tourism and Travel Management (IITTM)
1361,iittmb.in,"Indian Institute of Tourism and Travel management (IITTM), Bhubaneswar"
1362,iittmnoida.ac.in,"Indian Institute of Tourism & Travel Management(IITTM), Noida"
1363,iittmsouth.org,"Indian Institute of Tourism and Travel management (IITTM), Nellore"
1364,iivr.org.in,Indian Institute of Vegetable Research (IIVR)
1365,iiwm.res.in,"ICAR-INDIAN INSTITUTE OF WATER MANAGEMENT,  Bhubaneswar, Odisha"
1366,ildc.in,Indian Language Data Centre (ILDC)
1367,iledtheway.in,ILedTheWay - DELP (Domestic Energy Lighting Program) Scheme by EESL
1368,ilgti.tifr.res.in,"Indian Lattice Gauge Theory Initiative, TIFR, Mumbai"
1369,ilkota.in,"Instrumentation Limited, Kota"
1370,ils.res.in,Institute of Life Sciences
1371,imd.gov.in,India Meteorological Department (IMD)
1372,imdagrimet.gov.in,Agricultural Meteorology Division
1373,imdahm.gov.in,"Meteorological Centre, Ahmedabad"
1374,imdbangalore.gov.in,"Meteorological Center, Bengaluru"
1375,imdchennai.gov.in,"Regional Meteorological Centre, Chennai"
1376,imdgoa.gov.in,"Meteorological Centre, Goa"
1377,imdguwahati.gov.in,"Regional Meteorological Centre, Guwahati"
1378,imdhyderabad.gov.in,"Meteorological Centre, Hyderabad"
1379,imdkolkata.gov.in,"Regional Meteorological Centre, Kolkata"
1380,imdmumbai.gov.in,"Regional Meteorological Centre, Mumbai"
1381,imdnagpur.gov.in,"Regional Meteorological Centre, Nagpur"
